title,point,date,comment
Tell HN: YouTube is asking for age verification to watch Bret Weinstein's video,79 points by whitepaint,1 day ago,51 comments
App Stores play a bigger role in our social media hellscape than I thought,6 points by mpweiher,2 days ago,6 comments
An Urgent Notice from AssemblyScript,75 points by iMuzz,2 days ago,52 comments
Large Ivermectin Study Retracted,56 points by bb88,2 days ago,55 comments
Is Consciousness Bound by Quantum Physics? We're Getting Closer to Finding Out,3 points by starkd,2 days ago,1 comment
Ubuntu and Arch not that different with regard to performance,5 points by marcodiego,2 days ago,6 comments
Zepp smartwatch with blood pressure measurement based on RISC-V AI processor,5 points by teleforce,2 days ago,1 comment
"Tuvix, the Star Trek controversy and meme star, explained",21 points by Tomte,2 days ago,1 comment
Large study finds Covid-19 is linked to a substantial drop in intelligence,14 points by jimmy2020,2 days ago,4 comments
Polytetrafluoroethylene (Teflon) as a Way to Increase Food Volume and Satiety,33 points by networked,2 days ago,50 comments
Disinformation Evolved in 2020,39 points by Bluestein,1 day ago,88 comments
America Has Lost the Trade War with China,10 points by ytNumbers,2 days ago,2 comments
Leetcode Compensation report (India) Jan 2019 – Jul 2021,43 points by krumboy,1 day ago,45 comments
Freedom Phone: Why you should avoid it and what else to know,10 points by thunderbong,2 days ago,6 comments
A new bill would hold Facebook responsible for Covid-19 vaccine misinformation,8 points by MilnerRoute,3 days ago,1 comment
"In Alabama and Louisiana, partisan opposition to vaccine surges",10 points by Tomte,2 days ago,1 comment
"China sets goal of running single-stack IPv6 network by 2030, orders upgrade",10 points by walterbell,1 day ago,3 comments
Systemic Discrimination Among Large U.S. Employers [pdf],35 points by leephillips,1 day ago,88 comments
Local BBC radio not available online outside UK during Tokyo Olympics,25 points by tkgally,1 day ago,53 comments
The YouTubers who blew the whistle on an anti-vax plot,88 points by lsllc,2 days ago,40 comments
S.F. is considering downtown 'congestion pricing',37 points by lsllc,1 day ago,80 comments
Light-to-moderate drinking tied to lower risk of heart attack and death,23 points by leephillips,1 day ago,54 comments
How AstraZeneca threw away its shot,41 points by Quanttek,1 day ago,29 comments
"Gas Engines, and the People Behind Them, Are Cast Aside for Electric Vehicles",27 points by SquibblesRedux,3 days ago,50 comments
Why is China smashing its tech industry?,10 points by stereoradonc,3 days ago,4 comments
Half of the pandemic's unemployment money may have been stolen,26 points by mgh2,3 days ago,6 comments
Tesla will not offer a regular steering wheel on new Model S/X,45 points by tosh,2 days ago,116 comments
Could Vaccinating Young People Before Old People Save More Lives?,14 points by aidancooper,2 days ago,43 comments
Scaleway: Incident SSD was stolen during a secure transport between datacenters,87 points by mot2ba,1 day ago,23 comments
Ask HN: What would a Facebook that isn't evil look like?,36 points by smw,2 days ago,41 comments
Free money for all? Garcetti hopes guaranteed income test brings big change,20 points by prostoalex,2 days ago,67 comments
